id	名称	类型	奖励	图标	描述
4000008	签到第8天奖励	4	10000_1001_20,10000_1002_45000	Item/gift2.png	签到第8天奖励
4000009	签到第9天奖励	4	10000_1001_20,10000_1002_50000	Item/gift2.png	签到第9天奖励
4000010	签到第10天奖励	4	10000_1001_20,10000_1002_60000	Item/gift2.png	签到第10天奖励
4000011	签到第11天奖励	4	10000_1001_20,10000_1002_62000	Item/gift2.png	签到第11天奖励
4000012	签到第12天奖励	4	10000_1001_20,10000_1002_66000	Item/gift2.png	签到第12天奖励
4000013	签到第13天奖励	4	10000_1001_20,10000_1002_68000	Item/gift2.png	签到第13天奖励
4000014	签到第14天奖励	4	10000_1001_20,10000_1002_70000	Item/gift2.png	签到第14天奖励
4000015	签到第15天奖励	4	10000_1001_20,10000_1002_70000	Item/gift2.png	签到第15天奖励
4000016	签到第16天奖励	4	10000_1001_20,10000_1002_72000	Item/gift2.png	签到第16天奖励
4000017	签到第17天奖励	4	10000_1001_20,10000_1002_72000	Item/gift2.png	签到第17天奖励
4000018	签到第18天奖励	4	10000_1001_20,10000_1002_74000	Item/gift2.png	签到第18天奖励
4000019	签到第19天奖励	4	10000_1001_20,10000_1002_76000	Item/gift2.png	签到第19天奖励
4000020	签到第20天奖励	4	10000_1001_20,10000_1002_88000	Item/gift2.png	签到第20天奖励
4000021	签到第21天奖励	4	10000_1001_20,10000_1002_88000	Item/gift2.png	签到第21天奖励
4000022	签到第22天奖励	4	10000_1001_20,10000_1002_90000	Item/gift2.png	签到第22天奖励
4000023	签到第23天奖励	4	10000_1001_20,10000_1002_92000	Item/gift2.png	签到第23天奖励
4000024	签到第24天奖励	4	10000_1001_20,10000_1002_94000	Item/gift2.png	签到第24天奖励
4000025	签到第25天奖励	4	10000_1001_20,10000_1002_100000	Item/gift2.png	签到第25天奖励
4000026	签到第26天奖励	4	10000_1001_20,10000_1002_128000	Item/gift2.png	签到第26天奖励
4000027	签到第27天奖励	4	10000_1001_20,10000_1002_128000	Item/gift2.png	签到第27天奖励
4000028	签到第28天奖励	4	10000_1001_20,10000_1002_120000	Item/gift2.png	签到第28天奖励
4000029	签到第29天奖励	4	10000_1001_20,10000_1002_116000	Item/gift2.png	签到第29天奖励
4000030	签到第30天奖励	4	10000_1001_20,10000_1002_110000	Item/gift2.png	签到第30天奖励
4000031	签到第31天奖励	4	10000_1001_20,10000_1002_110000	Item/gift2.png	签到第31天奖励
4000032	签到第32天奖励	4	10000_1001_20,10000_1002_110000	Item/gift2.png	签到第32天奖励
4000033	签到第33天奖励	4	10000_1001_20,10000_1002_110000	Item/gift2.png	签到第33天奖励
4000034	签到第34天奖励	4	10000_1001_20,10000_1002_110000	Item/gift2.png	签到第34天奖励
4000035	签到第35天奖励	4	10000_1001_20,10000_1002_110000	Item/gift2.png	签到第35天奖励
4000036	签到第36天奖励	4	10000_1001_20,10000_1002_120000	Item/gift2.png	签到第36天奖励
4000037	签到第37天奖励	4	10000_1001_20,10000_1002_120000	Item/gift2.png	签到第37天奖励
4000038	签到第38天奖励	4	10000_1001_20,10000_1002_120000	Item/gift2.png	签到第38天奖励
4000039	签到第39天奖励	4	10000_1001_20,10000_1002_120000	Item/gift2.png	签到第39天奖励
4000040	签到第40天奖励	4	10000_1001_20,10000_1002_120000	Item/gift2.png	签到第40天奖励
4000041	签到第41天奖励	4	10000_1001_20,10000_1002_120000	Item/gift2.png	签到第41天奖励
4000042	签到第42天奖励	4	10000_1001_20,10000_1002_120000	Item/gift2.png	签到第42天奖励
4000043	签到第43天奖励	4	10000_1001_20,10000_1002_120000	Item/gift2.png	签到第43天奖励
4000044	签到第44天奖励	4	10000_1001_20,10000_1002_124000	Item/gift2.png	签到第44天奖励
4000045	签到第45天奖励	4	10000_1001_20,10000_1002_128000	Item/gift2.png	签到第45天奖励
4000046	签到第46天奖励	4	10000_1001_20,10000_1002_128000	Item/gift2.png	签到第46天奖励
4000047	签到第47天奖励	4	10000_1001_20,10000_1002_128000	Item/gift2.png	签到第47天奖励
4000048	签到第48天奖励	4	10000_1001_20,10000_1002_128000	Item/gift2.png	签到第48天奖励
4000049	签到第49天奖励	4	10000_1001_20,10000_1002_130000	Item/gift2.png	签到第49天奖励
4000050	签到第50天奖励	4	10000_1001_20,10000_1002_130000	Item/gift2.png	签到第50天奖励
4000051	签到第51天奖励	4	10000_1001_20,10000_1002_130000	Item/gift2.png	签到第51天奖励
4000052	签到第52天奖励	4	10000_1001_20,10000_1002_130000	Item/gift2.png	签到第52天奖励
4000053	签到第53天奖励	4	10000_1001_20,10000_1002_130000	Item/gift2.png	签到第53天奖励
4000054	签到第54天奖励	4	10000_1001_20,10000_1002_130000	Item/gift2.png	签到第54天奖励
4000055	签到第55天奖励	4	10000_1001_20,10000_1002_140000	Item/gift2.png	签到第55天奖励
4000056	签到第56天奖励	4	10000_1001_20,10000_1002_140000	Item/gift2.png	签到第56天奖励
4000057	签到第57天奖励	4	10000_1001_20,10000_1002_140000	Item/gift2.png	签到第57天奖励
4000058	签到第58天奖励	4	10000_1001_20,10000_1002_140000	Item/gift2.png	签到第58天奖励
4000059	签到第59天奖励	4	10000_1001_20,10000_1002_140000	Item/gift2.png	签到第59天奖励
4000060	签到第60天奖励	4	10000_1001_20,10000_1002_140000	Item/gift2.png	签到第60天奖励
5000001	击败新手试炼boss奖励	5	10000_1001_30,30000_60001_10,10000_1009_1	Item/gift3.png	击败新手试炼boss奖励
5000002	击败怒焰裂谷boss奖励	5	10000_1001_30,30000_60001_10,10000_1009_1	Item/gift3.png	击败怒焰裂谷boss奖励
5000003	击败死亡矿井boss奖励	5	10000_1001_30,30000_60001_10,10000_1009_1	Item/gift3.png	击败死亡矿井boss奖励
5000004	击败哀嚎洞穴boss奖励	5	10000_1001_30,30000_60001_10,10000_1009_1	Item/gift3.png	击败哀嚎洞穴boss奖励
5000005	击败影牙城堡boss奖励	5	10000_1001_45,30000_60001_20,10000_1009_1	Item/gift3.png	击败影牙城堡boss奖励
5000006	击败黑暗深渊boss奖励	5	10000_1001_45,30000_60001_20,10000_1009_1	Item/gift3.png	击败黑暗深渊boss奖励
5000007	击败暴风城监狱boss奖励	5	10000_1001_45,30000_60001_20,10000_1009_1	Item/gift3.png	击败暴风城监狱boss奖励
5000008	击败剃刀沼泽boss奖励	5	10000_1001_45,30000_60001_20,10000_1009_1	Item/gift3.png	击败剃刀沼泽boss奖励
5000009	击败诺莫瑞根boss奖励	5	10000_1001_60,30000_60001_30,10000_1009_1	Item/gift3.png	击败诺莫瑞根boss奖励
5000010	击败血色修道院boss奖励	5	10000_1001_60,30000_60001_30,10000_1009_1	Item/gift3.png	击败血色修道院boss奖励
5000011	击败剃刀高地boss奖励	5	10000_1001_60,30000_60001_30,10000_1009_1	Item/gift3.png	击败剃刀高地boss奖励
5000012	击败奥达曼boss奖励	5	10000_1001_60,30000_60001_30,10000_1009_1	Item/gift3.png	击败奥达曼boss奖励
5000013	击败祖尔法拉克boss奖励	5	10000_1001_75,30000_60001_40,10000_1009_1	Item/gift3.png	击败祖尔法拉克boss奖励
5000014	击败玛拉顿boss奖励	5	10000_1001_75,30000_60001_40,10000_1009_1	Item/gift3.png	击败玛拉顿boss奖励
5000015	击败沉没的神庙boss奖励	5	10000_1001_75,30000_60001_40,10000_1009_1	Item/gift3.png	击败沉没的神庙boss奖励
5000016	击败厄运之槌boss奖励	5	10000_1001_75,30000_60001_40,10000_1009_1	Item/gift3.png	击败厄运之槌boss奖励
5000017	击败黑石深渊boss奖励	5	10000_1001_90,30000_60001_50,10000_1009_1	Item/gift3.png	击败黑石深渊boss奖励
5000018	击败斯坦索姆boss奖励	5	10000_1001_90,30000_60001_50,10000_1009_1	Item/gift3.png	击败斯坦索姆boss奖励
5000019	击败通灵学院boss奖励	5	10000_1001_90,30000_60001_50,10000_1009_1	Item/gift3.png	击败通灵学院boss奖励
5000020	击败黑石塔boss奖励	5	10000_1001_90,30000_60001_50,10000_1009_1	Item/gift3.png	击败黑石塔boss奖励
5000021	击败地狱火城墙boss奖励	5	10000_1001_115,30000_60001_60,10000_1009_1	Item/gift3.png	击败地狱火城墙boss奖励
5000022	击败鲜血熔炉boss奖励	5	10000_1001_115,30000_60001_60,10000_1009_1	Item/gift3.png	击败鲜血熔炉boss奖励
5000023	击败奴隶围栏boss奖励	5	10000_1001_135,30000_60001_80,10000_1009_1	Item/gift3.png	击败奴隶围栏boss奖励
5000024	击败幽暗沼泽boss奖励	5	10000_1001_135,30000_60001_80,10000_1009_1	Item/gift3.png	击败幽暗沼泽boss奖励
5000025	击败法力陵墓boss奖励	5	10000_1001_150,30000_60001_100,10000_1009_1	Item/gift3.png	击败法力陵墓boss奖励
5000026	击败奥金尼地穴boss奖励	5	10000_1001_150,30000_60001_100,10000_1009_1	Item/gift3.png	击败奥金尼地穴boss奖励
5000027	击败旧希尔布拉德丘陵boss奖励	5	10000_1001_175,30000_60001_120,10000_1009_1	Item/gift3.png	击败旧希尔布拉德丘陵boss奖励
5000028	击败塞泰克大厅boss奖励	5	10000_1001_175,30000_60001_120,10000_1009_1	Item/gift3.png	击败塞泰克大厅boss奖励
5000029	击败暗影迷宫boss奖励	5	10000_1001_190,30000_60001_140,10000_1009_1	Item/gift3.png	击败暗影迷宫boss奖励
5000030	击败蒸汽地窖boss奖励	5	10000_1001_190,30000_60001_140,10000_1009_1	Item/gift3.png	击败蒸汽地窖boss奖励
5000031	击败能源舰boss奖励	5	10000_1001_205,30000_60001_160,10000_1009_1	Item/gift3.png	击败能源舰boss奖励
5000032	击败生态船boss奖励	5	10000_1001_205,30000_60001_160,10000_1009_1	Item/gift3.png	击败生态船boss奖励
5000033	击败禁魔监狱boss奖励	5	10000_1001_220,30000_60001_180,10000_1009_1	Item/gift3.png	击败禁魔监狱boss奖励
5000034	击败破碎大厅boss奖励	5	10000_1001_220,30000_60001_180,10000_1009_1	Item/gift3.png	击败破碎大厅boss奖励
5000035	击败黑色沼泽boss奖励	5	10000_1001_235,30000_60001_200,10000_1009_1	Item/gift3.png	击败黑色沼泽boss奖励
6000001	玩家等级达到4级奖励	6	10000_1001_30,10000_1002_10000	Item/gift1.png	玩家等级达到4级奖励
6000002	玩家等级达到7级奖励	6	10000_1001_40,10000_1002_15000	Item/gift1.png	玩家等级达到7级奖励
6000003	玩家等级达到10级奖励	6	10000_1001_50,10000_1002_20000	Item/gift1.png	玩家等级达到10级奖励
6000004	玩家等级达到13级奖励	6	10000_1001_60,10000_1002_25000	Item/gift1.png	玩家等级达到13级奖励
6000005	玩家等级达到16级奖励	6	10000_1001_70,10000_1002_30000	Item/gift1.png	玩家等级达到16级奖励
6000006	玩家等级达到19级奖励	6	10000_1001_80,10000_1002_35000	Item/gift1.png	玩家等级达到19级奖励
6000007	玩家等级达到22级奖励	6	10000_1001_90,10000_1002_40000	Item/gift1.png	玩家等级达到22级奖励
6000008	玩家等级达到25级奖励	6	10000_1001_100,10000_1002_45000	Item/gift1.png	玩家等级达到25级奖励
6000009	玩家等级达到28级奖励	6	10000_1001_110,10000_1002_50000	Item/gift1.png	玩家等级达到28级奖励
6000010	玩家等级达到31级奖励	6	10000_1001_120,10000_1002_55000	Item/gift1.png	玩家等级达到31级奖励
6000011	玩家等级达到34级奖励	6	10000_1001_130,10000_1002_60000	Item/gift1.png	玩家等级达到34级奖励
6000012	玩家等级达到37级奖励	6	10000_1001_140,10000_1002_65000	Item/gift1.png	玩家等级达到37级奖励
6000013	玩家等级达到40级奖励	6	10000_1001_150,10000_1002_70000	Item/gift1.png	玩家等级达到40级奖励
6000014	玩家等级达到43级奖励	6	10000_1001_160,10000_1002_75000	Item/gift1.png	玩家等级达到43级奖励
6000015	玩家等级达到46级奖励	6	10000_1001_170,10000_1002_80000	Item/gift1.png	玩家等级达到46级奖励
6000016	玩家等级达到49级奖励	6	10000_1001_180,10000_1002_85000	Item/gift1.png	玩家等级达到49级奖励
6000017	玩家等级达到52级奖励	6	10000_1001_190,10000_1002_90000	Item/gift1.png	玩家等级达到52级奖励
6000018	玩家等级达到55级奖励	6	10000_1001_200,10000_1002_95000	Item/gift1.png	玩家等级达到55级奖励
6000019	玩家等级达到58级奖励	6	10000_1001_210,10000_1002_100000	Item/gift1.png	玩家等级达到58级奖励
6000020	玩家等级达到61级奖励	6	10000_1001_220,10000_1002_105000	Item/gift1.png	玩家等级达到61级奖励
6000021	玩家等级达到64级奖励	6	10000_1001_230,10000_1002_110000	Item/gift1.png	玩家等级达到64级奖励
6000022	玩家等级达到67级奖励	6	10000_1001_240,10000_1002_115000	Item/gift1.png	玩家等级达到67级奖励
6000023	玩家等级达到70级奖励	6	10000_1001_250,10000_1002_120000	Item/gift1.png	玩家等级达到70级奖励
7000001	开服奖励	3	10000_1001_3000	Item/gift3.png	开服注册奖励(封测)
