id	名称	类型	奖励	图标	描述
5000023	击败潮汐遗迹boss奖励	5	10000_1001_135,30000_60001_80,10000_1009_1	Item/gift3.png	击败奴隶围栏boss奖励
5000024	击败沐星城boss奖励	5	10000_1001_135,30000_60001_80,10000_1009_1	Item/gift3.png	击败幽暗沼泽boss奖励
5000025	击败猛犸之墓boss奖励	5	10000_1001_150,30000_60001_100,10000_1009_1	Item/gift3.png	击败法力陵墓boss奖励
5000026	击败霜狼十字boss奖励	5	10000_1001_150,30000_60001_100,10000_1009_1	Item/gift3.png	击败奥金尼地穴boss奖励
5000027	击败时光壁炉boss奖励	5	10000_1001_175,30000_60001_120,10000_1009_1	Item/gift3.png	击败旧希尔布拉德丘陵boss奖励
5000028	击败折月城堡boss奖励	5	10000_1001_175,30000_60001_120,10000_1009_1	Item/gift3.png	击败塞泰克大厅boss奖励
5000029	击败暗魔塔boss奖励	5	10000_1001_190,30000_60001_140,10000_1009_1	Item/gift3.png	击败暗影迷宫boss奖励
5000030	击败流金大厅boss奖励	5	10000_1001_190,30000_60001_140,10000_1009_1	Item/gift3.png	击败蒸汽地窖boss奖励
5000031	击败塔姆丛林boss奖励	5	10000_1001_205,30000_60001_160,10000_1009_1	Item/gift3.png	击败能源舰boss奖励
5000032	击败十三王陵boss奖励	5	10000_1001_205,30000_60001_160,10000_1009_1	Item/gift3.png	击败生态船boss奖励
5000033	击败巨木之森boss奖励	5	10000_1001_220,30000_60001_180,10000_1009_1	Item/gift3.png	击败禁魔监狱boss奖励
5000034	击败红魔监狱boss奖励	5	10000_1001_220,30000_60001_180,10000_1009_1	Item/gift3.png	击败破碎大厅boss奖励
5000035	击败金砂堡boss奖励	5	10000_1001_235,30000_60001_200,10000_1009_1	Item/gift3.png	击败黑色沼泽boss奖励
5000036	击败达雅之核boss奖励	5	10000_1001_240,30000_60001_200,10000_1009_1	Item/gift3.png	击败魔导师平台boss奖励
5000037	击败红谷绞肉机boss奖励	5	10000_1001_245,30000_60001_200,10000_1009_1	Item/gift3.png	击败乌特加德城堡boss奖励
5000038	击败埋骨地boss奖励	5	10000_1001_250,30000_60001_200,10000_1009_1	Item/gift3.png	击败魔枢boss奖励
5000039	击败流云古城boss奖励	5	10000_1001_255,30000_60001_200,10000_1009_1	Item/gift3.png	击败艾卓-尼鲁布boss奖励
5000040	击败饮光崖boss奖励	5	10000_1001_260,30000_60001_200,10000_1009_1	Item/gift3.png	击败安卡赫特：古代王国boss奖励
5000041	击败黑风要塞boss奖励	5	10000_1001_265,30000_60001_200,10000_1009_1	Item/gift3.png	击败达克萨隆要塞boss奖励
5000042	击败努玛遗迹boss奖励	5	10000_1001_270,30000_60001_200,10000_1009_1	Item/gift3.png	击败紫罗兰监狱boss奖励
5000043	击败幽灵大厅boss奖励	5	10000_1001_275,30000_60001_200,10000_1009_1	Item/gift3.png	击败古达克boss奖励
5000044	击败寒古山脉boss奖励	5	10000_1001_280,30000_60001_200,10000_1009_1	Item/gift3.png	击败岩石大厅boss奖励
5000045	击败铁卫雕像boss奖励	5	10000_1001_285,30000_60001_200,10000_1009_1	Item/gift3.png	击败魔环boss奖励
5000046	击败喋血之门boss奖励	5	10000_1001_290,30000_60001_200,10000_1009_1	Item/gift3.png	击败闪电大厅boss奖励
5000047	击败苦塔boss奖励	5	10000_1001_295,30000_60001_200,10000_1009_1	Item/gift3.png	击败乌特加德之巅boss奖励
5000048	击败雪路之庭boss奖励	5	10000_1001_300,30000_60001_200,10000_1009_1	Item/gift3.png	击败冠军的试炼boss奖励
5000049	击败幽魂小径boss奖励	5	10000_1001_305,30000_60001_200,10000_1009_1	Item/gift3.png	击败净化斯坦索姆boss奖励
5000050	击败地狱之门boss奖励	5	10000_1001_310,30000_60001_200,10000_1009_1	Item/gift3.png	击败萨隆矿坑boss奖励
5000051	击败安塔恶魔之城boss奖励	5	10000_1001_315,30000_60001_200,10000_1009_1	Item/gift3.png	击败灵魂洪炉boss奖励
5000052	击败通天塔boss奖励	5	10000_1001_320,30000_60001_200,10000_1009_1	Item/gift3.png	击败映像大厅boss奖励
6000001	玩家等级达到4级奖励	6	10000_1001_30,10000_1002_10000	Item/gift1.png	玩家等级达到4级奖励
6000002	玩家等级达到7级奖励	6	10000_1001_40,10000_1002_15000	Item/gift1.png	玩家等级达到7级奖励
6000003	玩家等级达到10级奖励	6	10000_1001_50,10000_1002_20000	Item/gift1.png	玩家等级达到10级奖励
6000004	玩家等级达到13级奖励	6	10000_1001_60,10000_1002_25000	Item/gift1.png	玩家等级达到13级奖励
6000005	玩家等级达到16级奖励	6	10000_1001_70,10000_1002_30000	Item/gift1.png	玩家等级达到16级奖励
6000006	玩家等级达到19级奖励	6	10000_1001_80,10000_1002_35000	Item/gift1.png	玩家等级达到19级奖励
6000007	玩家等级达到22级奖励	6	10000_1001_90,10000_1002_40000	Item/gift1.png	玩家等级达到22级奖励
6000008	玩家等级达到25级奖励	6	10000_1001_100,10000_1002_45000	Item/gift1.png	玩家等级达到25级奖励
6000009	玩家等级达到28级奖励	6	10000_1001_110,10000_1002_50000	Item/gift1.png	玩家等级达到28级奖励
6000010	玩家等级达到31级奖励	6	10000_1001_120,10000_1002_55000	Item/gift1.png	玩家等级达到31级奖励
6000011	玩家等级达到34级奖励	6	10000_1001_130,10000_1002_60000	Item/gift1.png	玩家等级达到34级奖励
6000012	玩家等级达到37级奖励	6	10000_1001_140,10000_1002_65000	Item/gift1.png	玩家等级达到37级奖励
6000013	玩家等级达到40级奖励	6	10000_1001_150,10000_1002_70000	Item/gift1.png	玩家等级达到40级奖励
6000014	玩家等级达到43级奖励	6	10000_1001_160,10000_1002_75000	Item/gift1.png	玩家等级达到43级奖励
6000015	玩家等级达到46级奖励	6	10000_1001_170,10000_1002_80000	Item/gift1.png	玩家等级达到46级奖励
6000016	玩家等级达到49级奖励	6	10000_1001_180,10000_1002_85000	Item/gift1.png	玩家等级达到49级奖励
6000017	玩家等级达到52级奖励	6	10000_1001_190,10000_1002_90000	Item/gift1.png	玩家等级达到52级奖励
6000018	玩家等级达到55级奖励	6	10000_1001_200,10000_1002_95000	Item/gift1.png	玩家等级达到55级奖励
6000019	玩家等级达到58级奖励	6	10000_1001_210,10000_1002_100000	Item/gift1.png	玩家等级达到58级奖励
6000020	玩家等级达到61级奖励	6	10000_1001_220,10000_1002_105000	Item/gift1.png	玩家等级达到61级奖励
6000021	玩家等级达到64级奖励	6	10000_1001_230,10000_1002_110000	Item/gift1.png	玩家等级达到64级奖励
6000022	玩家等级达到67级奖励	6	10000_1001_240,10000_1002_115000	Item/gift1.png	玩家等级达到67级奖励
6000023	玩家等级达到70级奖励	6	10000_1001_250,10000_1002_120000	Item/gift1.png	玩家等级达到70级奖励
6000024	玩家等级达到73级奖励	6	10000_1001_260,10000_1002_125000	Item/gift1.png	玩家等级达到73级奖励
6000025	玩家等级达到76级奖励	6	10000_1001_270,10000_1002_130000	Item/gift1.png	玩家等级达到76级奖励
6000026	玩家等级达到79级奖励	6	10000_1001_280,10000_1002_135000	Item/gift1.png	玩家等级达到79级奖励
6000027	玩家等级达到82级奖励	6	10000_1001_290,10000_1002_140000	Item/gift1.png	玩家等级达到82级奖励
6000028	玩家等级达到85级奖励	6	10000_1001_300,10000_1002_145000	Item/gift1.png	玩家等级达到85级奖励
6000029	玩家等级达到88级奖励	6	10000_1001_310,10000_1002_150000	Item/gift1.png	玩家等级达到88级奖励
6000030	玩家等级达到91级奖励	6	10000_1001_320,10000_1002_155000	Item/gift1.png	玩家等级达到91级奖励
6000031	玩家等级达到94级奖励	6	10000_1001_330,10000_1002_160000	Item/gift1.png	玩家等级达到94级奖励
6000032	玩家等级达到97级奖励	6	10000_1001_340,10000_1002_165000	Item/gift1.png	玩家等级达到97级奖励
6000033	玩家等级达到100级奖励	6	10000_1001_350,10000_1002_170000	Item/gift1.png	玩家等级达到100级奖励
