ID	内容
FightReportForLevelUp	<font  color="#faf84a" face = "HelveticaBD32" size ="100"> </font><br/><font  color="#faf84a" face = "HelveticaBD32" size ="100"><p style="margin:10px" >正在计算战斗结果...</p></font><br/><p style="margin:10px" ><font color="#f0deec" face = "HelveticaBD32">在</font><font color="#02fd20" face = "HelveticaBD32">#v1#</font><font color="#f0deec" face = "HelveticaBD32">内</font><br/><font color="#f0deec" face = "HelveticaBD32">您在地图</font><font color="#02fd20" face = "HelveticaBD32"> #v2# </font><font color="#f0deec" face = "HelveticaBD32">战斗了</font><font color="#02fd20" face = "HelveticaBD32"> #v3# </font><font color="#f0deec" face = "HelveticaBD32">次</font><br/><font color="#f0deec" face = "HelveticaBD32">战      胜：</font><font color="#02fd20" face = "HelveticaBD32">#v4#</font><br/><font color="#f0deec" face = "HelveticaBD32">战      败：</font><font color="#02fd20" face = "HelveticaBD32">#v5#</font><br/><font color="#f0deec" face = "HelveticaBD32">获得经验：</font><font color="#02fd20" face = "HelveticaBD32">#v6#</font><font color="#f0deec" face = "HelveticaBD32">  人物从</font><font color="#ff00ff" face = "HelveticaBD32">#v7#</font><font color="#f0deec" face = "HelveticaBD32">级升到了</font><font color="#ff00ff" face = "HelveticaBD32">#v8#级</font><br/><font color="#f0deec" face = "HelveticaBD32">获得金币：</font><font color="#02fd20" face = "HelveticaBD32">#v9#</font><br/></p>
WhiteEquip	<font color="#f0deec" face = "HelveticaBD32">掉      落：</font><font color="#f0deec" face = "HelveticaBD32">白色装备</font><font color="#f0deec" face = "HelveticaBD32">*#v1#</font>
GreenEquip	<font color="#f0deec" face = "HelveticaBD32">掉      落：</font><font color="#02fd20" face = "HelveticaBD32">绿色装备</font><font color="#f0deec" face = "HelveticaBD32">*#v1#</font>
BlueEquip	<font color="#f0deec" face = "HelveticaBD32">掉      落：</font><font color="#31a7fa" face = "HelveticaBD32">蓝色装备</font><font color="#f0deec" face = "HelveticaBD32">*#v1#</font>
PurpleEquip	<font color="#f0deec" face = "HelveticaBD32">掉      落：</font><font color="#7900ff" face = "HelveticaBD32">紫色装备</font><font color="#f0deec" face = "HelveticaBD32">*#v1#</font>
OrangeEquip	<font color="#f0deec" face = "HelveticaBD32">掉      落：</font><font color="#f9b522" face = "HelveticaBD32">橙色装备</font><font color="#f0deec" face = "HelveticaBD32">*#v1#</font>
SellEquipGot	<font color="#ffffff" face = "HelveticaBD32">出售获得</font><font color="#f0ee4d" face = "HelveticaBD32">金币*#v1#</font>
FindTongBoxFail	<font color="#ffffff" face = "HelveticaBD32">发现：</font><font color="#31a7fa" face = "HelveticaBD32">铜宝箱*#v1# </font><font color="#ffffff" face = "HelveticaBD32">没有</font><font color="#31a7fa" face = "HelveticaBD32"> 铜钥匙 </font><font color="#ffffff" face = "HelveticaBD32">遗憾地离开了</font>
FindYinBoxFail	<font color="#ffffff" face = "HelveticaBD32">发现：</font><font color="#7900ff" face = "HelveticaBD32">银宝箱*#v1# </font><font color="#ffffff" face = "HelveticaBD32">没有</font><font color="#7900ff" face = "HelveticaBD32"> 银钥匙 </font><font color="#ffffff" face = "HelveticaBD32">遗憾地离开了</font>
FindJinBoxFail	<font color="#ffffff" face = "HelveticaBD32">发现：</font><font color="#f0ee4d" face = "HelveticaBD32">金宝箱*#v1# </font><font color="#ffffff" face = "HelveticaBD32">没有</font><font color="#f0ee4d" face = "HelveticaBD32"> 金钥匙 </font><font color="#ffffff" face = "HelveticaBD32">遗憾地离开了</font>
FindTongBoxWin	<font color="#ffffff" face = "HelveticaBD32">发现：</font><font color="#31a7fa" face = "HelveticaBD32">铜宝箱*1 </font><font color="#ffffff" face = "HelveticaBD32">用</font><font color="#31a7fa" face = "HelveticaBD32"> 铜钥匙 </font><font color="#ffffff" face = "HelveticaBD32">打开获得了</font><font color="#31a7fa" face = "HelveticaBD32">#v1#</font>
FindYinBoxWin	<font color="#ffffff" face = "HelveticaBD32">发现：</font><font color="#7900ff" face = "HelveticaBD32">银宝箱*1 </font><font color="#ffffff" face = "HelveticaBD32">用</font><font color="#7900ff" face = "HelveticaBD32"> 银钥匙 </font><font color="#ffffff" face = "HelveticaBD32">打开获得了</font><font color="#7900ff" face = "HelveticaBD32">#v1#</font>
FindJinBoxWin	<font color="#ffffff" face = "HelveticaBD32">发现：</font><font color="#f0ee4d" face = "HelveticaBD32">金宝箱*1 </font><font color="#ffffff" face = "HelveticaBD32">用</font><font color="#f0ee4d" face = "HelveticaBD32"> 金钥匙 </font><font color="#ffffff" face = "HelveticaBD32">打开获得了</font><font color="#f0ee4d" face = "HelveticaBD32">#v1#</font>
NoEquipInfo	<br/><font  color="#f0f0f0" face = "HelveticaBD32" size ="100">点背不怪社会，命苦不怨政府。</font><font  color="#f0f0f0" face = "HelveticaBD32" size ="100">一件装备都没打到</font>
SkipBattle	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#7900ff" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" >处于</font><font  color="#2f42ed" face = "HelveticaBD32" size ="100">#v3#</font><font color="#000000" face = "HelveticaBD32" >状态跳过战斗</font>
SkipBattleEnemy	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#0052e9" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" >处于</font><font  color="#2f42ed" face = "HelveticaBD32" size ="100">#v3#</font><font color="#000000" face = "HelveticaBD32" >状态跳过战斗</font>
AvoidBuffLog	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#000000" face = "HelveticaBD32" >你的 </font><font color="#2f42ed" face = "HelveticaBD32" >#v2# </font><font color="#000000" face = "HelveticaBD32" >效果 被 </font><font color="#0052e9" face = "HelveticaBD32" >#v3# </font><font color="#000000" face = "HelveticaBD32" >的 </font><font color="#2f42ed" face = "HelveticaBD32" >#v4# </font><font color="#000000" face = "HelveticaBD32" >免疫</font>
AvoidBuffLogEnemy	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#000000" face = "HelveticaBD32" >你的 </font><font color="#2f42ed" face = "HelveticaBD32" >#v2# </font><font color="#000000" face = "HelveticaBD32" >免疫了 </font><font color="#0052e9" face = "HelveticaBD32" >#v3# </font><font color="#000000" face = "HelveticaBD32" >的 </font><font color="#2f42ed" face = "HelveticaBD32" >#v4# </font>
UseBuffSelf	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#7900ff" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" >使用了</font><font color="#307127" face = "HelveticaBD32" >#v3#</font>
UseBuffSelfEnemy	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#0052e9" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" >使用了</font><font color="#307127" face = "HelveticaBD32" >#v3#</font>
UseBuffForOther	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#7900ff" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" >为</font><font color="#0052e9" face = "HelveticaBD32" >#v3#</font><font color="#000000" face = "HelveticaBD32" >使用</font><font color="#307127" face = "HelveticaBD32" >#v4#</font>
HealSkill	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#7900ff" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" >使用治疗为</font><font color="#7900ff" face = "HelveticaBD32" >#v3#</font><font color="#000000" face = "HelveticaBD32" >恢复了</font><font color="#02fd20" face = "HelveticaBD32" >#v4#</font><font color="#000000" face = "HelveticaBD32" >血</font>
HealSkillEnemy	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#0052e9" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" >使用治疗为</font><font color="#0052e9" face = "HelveticaBD32" >#v3#</font><font color="#000000" face = "HelveticaBD32" >恢复了</font><font color="#02fd20" face = "HelveticaBD32" >#v4#</font><font color="#000000" face = "HelveticaBD32" >血</font>
UseMingXiang	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#7900ff" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" >使用了冥想恢复了</font><font color="#31a7fa" face = "HelveticaBD32" >#v3#</font><font color="#000000" face = "HelveticaBD32" >魔法值</font>
UseMingXiangEnemy	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#0052e9" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" >使用了冥想恢复了</font><font color="#31a7fa" face = "HelveticaBD32" >#v3#</font><font color="#000000" face = "HelveticaBD32" >魔法值</font>
XiXueSkill	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#7900ff" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" >吸取到了</font><font color="#31a7fa" face = "HelveticaBD32" >#v3#</font><font color="#000000" face = "HelveticaBD32" >血量</font>
WhiteDetailEquip	<font color="#ffffff" face = "HelveticaBD32" >获得：</font><font color="#ffffff" face = "HelveticaBD32" >#v1#</font>
GreenDetailEquip	<font color="#02fd20" face = "HelveticaBD32" >获得：</font><font color="#02fd20" face = "HelveticaBD32" >#v1#</font>
BlueDetailEquip	<font color="#31a7fa" face = "HelveticaBD32" >获得：</font><font color="#31a7fa" face = "HelveticaBD32" >#v1#</font>
PurpleDetailEquip	<font color="#7900ff" face = "HelveticaBD32" >获得：</font><font color="#7900ff" face = "HelveticaBD32" >#v1#</font>
OrangeDetailEquip	<font color="#f9b522" face = "HelveticaBD32" >获得：</font><font color="#f9b522" face = "HelveticaBD32" >#v1#</font>
EFFECT_CRITS	<font color="#000000" face = "HelveticaBD32" >（暴击）</font>
EFFECT_MISS	<font color="#000000" face = "HelveticaBD32" >（闪避）</font>
BossWipeWinReport	<font color="#ffffff" face = "HelveticaBD32" >战斗胜利,</font><font color="#02fd20" face = "HelveticaBD32" >经验+#v1#,</font><font color="#f9b522" face = "HelveticaBD32" >金钱+#v2#</font>
BossWipeWinReportLevelUp	<font color="#ffffff" face = "HelveticaBD32" >战斗胜利,</font><font color="#02fd20" face = "HelveticaBD32" >经验+#v1#,</font><font color="#ffffff" face = "HelveticaBD32" >人物从</font><font color="#f9b522" face = "HelveticaBD32" >#v2#</font><font color="#ffffff" face = "HelveticaBD32" >级升到了</font><font color="#02fd20" face = "HelveticaBD32" >#v3#</font><font color="#ffffff" face = "HelveticaBD32" >级，</font><font color="#f9b522" face = "HelveticaBD32" >金钱+#v3#</font>
P_AlignCenterPre	<p style="text-align:center" >
P_AlignCenterAfter	</p>
BattleResultTitle	<font color="#ffffff" face = "HelveticaBD32" >【战斗提示】</font>
FightBossResultReport	<font color="#ffffff" face = "HelveticaBD32" >击败#v1#</font>
FightBossResultExpCoin	<font color="#02fd20" face = "HelveticaBD32" >经验+#v1#,</font><font color="#f9b522" face = "HelveticaBD32" >金钱+#v2#</font>
WelcomeBack	<font color="#000000" face = "HelveticaBD32" >欢迎回来...</font>
CampReportContinueBlue	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#7900ff" face = "HelveticaBD32" >连胜战报：</font><font color="#0000ff" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" > 战胜了 </font><font color="#ff0000" face = "HelveticaBD32" >#v3#</font><font color="#000000" face = "HelveticaBD32" > ，取得了#v4#连胜，获得了胜利奖励#v5#金币和#v6#声望，连杀奖励#v7#金币和#v8#声望，终结奖励#v9#金币和#v10#声望。<br/></font> 
CampReportContinueRed	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#7900ff" face = "HelveticaBD32" >连胜战报：</font><font color="#ff0000" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" > 战胜了 </font><font color="#0000ff" face = "HelveticaBD32" >#v3#</font><font color="#000000" face = "HelveticaBD32" > ，取得了#v4#连胜，获得了胜利奖励#v5#金币和#v6#声望，连杀奖励#v7#金币和#v8#声望，终结奖励#v9#金币和#v10#声望。<br/></font> 
CampReportPersonalWin	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#4155eb" face = "HelveticaBD32" >个人战报：</font><font color="#000000" face = "HelveticaBD32" >你战胜了#v2#，取得了#v3#连胜，获得了胜利奖励#v4#金币和#v5#声望，连杀奖励#v6#金币和#v7#声望，终结奖励#v8#金币和#v9#声望。<br/></font>
CampReportPersonalLose	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#4155eb" face = "HelveticaBD32" >个人战报：</font><font color="#000000" face = "HelveticaBD32" > 你在对战#v2#时不幸战败，只获得了#v3#金币和#v4#声望。<br/></font> 
CampReportPersonalPass	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#4155eb" face = "HelveticaBD32" >个人战报：</font><font color="#000000" face = "HelveticaBD32" > 你在本次对战中轮空，获得胜利奖励#v2#金币和#v3#声望，连杀奖励#v4#金币和#v5#声望。<br/></font> 
RageDamageLog	<font color="#ff0e00" face = "HelveticaBD32" >[#v1#]</font><font color="#0052e9" face = "HelveticaBD32" >#v2#</font><font color="#000000" face = "HelveticaBD32" >进入了</font><font color="#307127" face = "HelveticaBD32" >狂怒状态</font>
NextChanllengePerson	<font color="#fc0d2f" face = "HelveticaBD26" >下场战斗将挑战</font><font color="#0d61fc" face = "HelveticaBD26" > #v1#</font>
