id	装备id	神器属性个数	所需声望	所需熔炼值	最低等级	最高等级
134	50650070	1	1000	8000	61	65
135	50651050	1	1000	8000	61	65
136	50651060	1	1000	8000	61	65
137	50652050	1	1000	8000	61	65
138	50652060	1	1000	8000	61	65
139	50653050	1	1000	8000	61	65
140	50653060	1	1000	8000	61	65
141	50700010	1	1000	8000	66	70
142	50700020	1	1000	8000	66	70
143	50700030	1	1000	8000	66	70
144	50700080	1	1000	8000	66	70
145	50700090	1	1000	8000	66	70
146	50700100	1	1000	8000	66	70
147	50700040	1	1000	8000	66	70
148	50700070	1	1000	8000	66	70
149	50701050	1	1000	8000	66	70
150	50701060	1	1000	8000	66	70
151	50702050	1	1000	8000	66	70
152	50702060	1	1000	8000	66	70
153	50703050	1	1000	8000	66	70
154	50703060	1	1000	8000	66	70
155	50750010	1	1000	8000	71	75
156	50750020	1	1000	8000	71	75
157	50750030	1	1000	8000	71	75
158	50750080	1	1000	8000	71	75
159	50750090	1	1000	8000	71	75
160	50750100	1	1000	8000	71	75
161	50750040	1	1000	8000	71	75
162	50750070	1	1000	8000	71	75
163	50751050	1	1000	8000	71	75
164	50751060	1	1000	8000	71	75
165	50752050	1	1000	8000	71	75
166	50752060	1	1000	8000	71	75
167	50753050	1	1000	8000	71	75
168	50753060	1	1000	8000	71	75
169	50800010	1	1000	8000	76	80
170	50800020	1	1000	8000	76	80
171	50800030	1	1000	8000	76	80
172	50800080	1	1000	8000	76	80
173	50800090	1	1000	8000	76	80
174	50800100	1	1000	8000	76	80
175	50800040	1	1000	8000	76	80
176	50800070	1	1000	8000	76	80
177	50801050	1	1000	8000	76	80
178	50801060	1	1000	8000	76	80
179	50802050	1	1000	8000	76	80
180	50802060	1	1000	8000	76	80
181	50803050	1	1000	8000	76	80
182	50803060	1	1000	8000	76	80
183	50850010	1	1000	8000	81	85
184	50850020	1	1000	8000	81	85
185	50850030	1	1000	8000	81	85
186	50850080	1	1000	8000	81	85
187	50850090	1	1000	8000	81	85
188	50850100	1	1000	8000	81	85
189	50850040	1	1000	8000	81	85
190	50850070	1	1000	8000	81	85
191	50851050	1	1000	8000	81	85
192	50851060	1	1000	8000	81	85
193	50852050	1	1000	8000	81	85
194	50852060	1	1000	8000	81	85
195	50853050	1	1000	8000	81	85
196	50853060	1	1000	8000	81	85
197	50900010	1	1000	8000	86	90
198	50900020	1	1000	8000	86	90
199	50900030	1	1000	8000	86	90
200	50900080	1	1000	8000	86	90
201	50900090	1	1000	8000	86	90
202	50900100	1	1000	8000	86	90
203	50900040	1	1000	8000	86	90
204	50900070	1	1000	8000	86	90
205	50901050	1	1000	8000	86	90
206	50901060	1	1000	8000	86	90
207	50902050	1	1000	8000	86	90
208	50902060	1	1000	8000	86	90
209	50903050	1	1000	8000	86	90
210	50903060	1	1000	8000	86	90
211	50950010	1	1000	8000	91	100
212	50950020	1	1000	8000	91	100
213	50950030	1	1000	8000	91	100
214	50950080	1	1000	8000	91	100
215	50950090	1	1000	8000	91	100
216	50950100	1	1000	8000	91	100
217	50950040	1	1000	8000	91	100
218	50950070	1	1000	8000	91	100
219	50951050	1	1000	8000	91	100
220	50951060	1	1000	8000	91	100
221	50952050	1	1000	8000	91	100
222	50952060	1	1000	8000	91	100
223	50953050	1	1000	8000	91	100
224	50953060	1	1000	8000	91	100
