mapId	group	levelIndex	levelLimit	nextMapId	dependMap	rewardItem	monsterId(headPic)	name	monsterLevel	isBoss	quality	stageName	exp	coin
105504	1	6	55	105505	105503	30000_90002_3,30000_90003_1,40000_50600035_1,40000_50553065_1,30000_11001_1	1055041	荒野游侠	56	0	1	力量试炼（55）	1600	1600
105505	1	6	55	105506	105504	30000_90002_3,30000_90003_1,40000_50600095_1,40000_50551055_1,30000_11001_1	1055051	憾地者	56	0	1	力量试炼（55）	1600	1600
105506	1	6	55	105507	105505	30000_90002_3,30000_90003_1,40000_50600075_1,40000_50550015_1,30000_11001_1	1055061	拉兹	57	1	5	力量试炼（55）	1640	1640
105507	1	6	55	105508	105506	30000_90002_3,30000_90003_1,40000_50600015_1,40000_50552055_1,30000_11001_1	1055071	塔克	57	0	1	力量试炼（55）	1640	1640
105508	1	6	55	105509	105507	30000_90002_3,30000_90003_1,40000_50600085_1,40000_50551065_1,30000_11001_1	1055081	狂野安东尼	58	0	1	力量试炼（55）	1680	1680
105509	1	6	55	0	105508	30000_90002_3,30000_90003_1,40000_50601056_1,40000_50552065_1,30000_11001_1	1055091	巡林者瑞克	59	1	5	力量试炼（55）	1720	1720
106001	1	7	60	106002	0	30000_90003_1,30000_90004_1,40000_50650035_1,40000_50603055_1,30000_11001_1	1060011	坚定的格雷格	60	0	1	勇气试炼（60）	1760	1760
106002	1	7	60	106003	106001	30000_90003_1,30000_90004_1,40000_50650025_1,40000_50602065_1,30000_11001_1	1060021	莱恩的倒影	60	0	1	勇气试炼（60）	1760	1760
106003	1	7	60	106004	106002	30000_90003_1,30000_90004_1,40000_50650085_1,40000_50601055_1,30000_11001_1	1060031	混乱的玛尔达	61	1	5	勇气试炼（60）	1810	1810
106004	1	7	60	106005	106003	30000_90003_1,30000_90004_1,40000_50650105_1,40000_50600015_1,30000_11001_1	1060041	驯兽师瓦纳	61	0	1	勇气试炼（60）	1810	1810
106005	1	7	60	106006	106004	30000_90003_1,30000_90004_1,40000_50650045_1,40000_50602055_1,30000_11001_1	1060051	炎之安苏	61	0	1	勇气试炼（60）	1810	1810
106006	1	7	60	106007	106005	30000_90003_1,30000_90004_1,40000_50650095_1,40000_50601065_1,30000_11001_1	1060061	迅捷的维恩	62	1	5	勇气试炼（60）	1860	1860
106007	1	7	60	106008	106006	30000_90003_1,30000_90004_1,40000_50650015_1,40000_50603065_1,30000_11001_1	1060071	暮光预言者	62	0	1	勇气试炼（60）	1860	1860
106008	1	7	60	106009	106007	30000_90003_1,30000_90004_1,40000_50650075_1,40000_50651065_1,30000_11001_1	1060081	卡雷	63	0	1	勇气试炼（60）	1910	1910
106009	1	7	60	0	106008	30000_90003_1,30000_90004_1,40000_50651055_1,40000_50600035_1,30000_11001_1	1060091	日光费雷尔	64	1	5	勇气试炼（60）	1960	1960
106501	1	8	65	106502	0	30000_90003_1,30000_90004_1,40000_50700105_1,40000_50650015_1,30000_11001_1	1065011	坚定的格雷格	65	0	1	勇气试炼（65）	2010	2010
106502	1	8	65	106503	106501	30000_90003_1,30000_90004_1,40000_50700095_1,40000_50651065_1,30000_11001_1	1065021	莱恩的倒影	65	0	1	勇气试炼（65）	2010	2010
106503	1	8	65	106504	106502	30000_90003_1,30000_90004_1,40000_50700075_1,40000_50701065_1,30000_11001_1	1065031	混乱的玛尔达	66	1	5	勇气试炼（65）	2060	2060
106504	1	8	65	106505	106503	30000_90003_1,30000_90004_1,40000_50700085_1,40000_50653065_1,30000_11001_1	1065041	驯兽师瓦纳	66	0	1	勇气试炼（65）	2060	2060
106505	1	8	65	106506	106504	30000_90003_1,30000_90004_1,40000_50700045_1,40000_50653055_1,30000_11001_1	1065051	炎之安苏	66	0	1	勇气试炼（65）	2060	2060
106506	1	8	65	106507	106505	30000_90003_1,30000_90004_1,40000_50700015_1,40000_50652065_1,30000_11001_1	1065061	迅捷的维恩	67	1	5	勇气试炼（65）	2110	2110
106507	1	8	65	106508	106506	30000_90003_1,30000_90004_1,40000_50700025_1,40000_50652055_1,30000_11001_1	1065071	暮光预言者	67	0	1	勇气试炼（65）	2110	2110
106508	1	8	65	106509	106507	30000_90003_1,30000_90004_1,40000_50700035_1,40000_50650035_1,30000_11001_1	1065081	卡雷	68	0	1	勇气试炼（65）	2160	2160
106509	1	8	65	0	106508	30000_90003_1,30000_90004_1,40000_50701055_1,40000_50651055_1,30000_11001_1	1065091	日光费雷尔	69	1	5	勇气试炼（65）	2210	2210
107001	1	9	70	107002	0	30000_90003_1,30000_90004_1,40000_50750045_1,40000_50700015_1,30000_11001_1	1070011	坚定的格雷格	70	0	1	勇气试炼（70）	2260	2260
107002	1	9	70	107003	107001	30000_90003_1,30000_90004_1,40000_50750025_1,40000_50701065_1,30000_11001_1	1070021	莱恩的倒影	70	0	1	勇气试炼（70）	2260	2260
107003	1	9	70	107004	107002	30000_90003_1,30000_90004_1,40000_50750095_1,40000_50702055_1,30000_11001_1	1070031	混乱的玛尔达	71	1	5	勇气试炼（70）	2320	2320
107004	1	9	70	107005	107003	30000_90003_1,30000_90004_1,40000_50750035_1,40000_50751066_1,30000_11001_1	1070041	驯兽师瓦纳	71	0	1	勇气试炼（70）	2320	2320
107005	1	9	70	107006	107004	30000_90003_1,30000_90004_1,40000_50750085_1,40000_50703065_1,30000_11001_1	1070051	炎之安苏	71	0	1	勇气试炼（70）	2320	2320
107006	1	9	70	107007	107005	30000_90003_1,30000_90004_1,40000_50750105_1,40000_50702065_1,30000_11001_1	1070061	迅捷的维恩	72	1	5	勇气试炼（70）	2380	2380
107007	1	9	70	107008	107006	30000_90003_1,30000_90004_1,40000_50750015_1,40000_50700035_1,30000_11001_1	1070071	暮光预言者	72	0	1	勇气试炼（70）	2380	2380
107008	1	9	70	107009	107007	30000_90003_1,30000_90004_1,40000_50750035_1,40000_50703055_1,30000_11001_1	1070081	卡雷	73	0	1	勇气试炼（70）	2440	2440
107009	1	9	70	0	107008	30000_90003_1,30000_90004_1,40000_50751056_1,40000_50701055_1,30000_11001_1	1070091	日光费雷尔	74	1	5	勇气试炼（70）	2500	2500
107501	1	10	75	107502	0	30000_90003_1,30000_90004_1,40000_50800105_1,40000_50752055_1,30000_11001_1	1075011	坚定的格雷格	75	0	1	勇气试炼（75）	2560	2560
107502	1	10	75	107503	107501	30000_90003_1,30000_90004_1,40000_50800085_1,40000_50801066_1,30000_11001_1	1075021	莱恩的倒影	75	0	1	勇气试炼（75）	2560	2560
107503	1	10	75	107504	107502	30000_90003_1,30000_90004_1,40000_50800095_1,40000_50751065_1,30000_11001_1	1075031	混乱的玛尔达	76	1	5	勇气试炼（75）	2620	2620
107504	1	10	75	107505	107503	30000_90003_1,30000_90004_1,40000_50800075_1,40000_50750035_1,30000_11001_1	1075041	驯兽师瓦纳	76	0	1	勇气试炼（75）	2620	2620
107505	1	10	75	107506	107504	30000_90003_1,30000_90004_1,40000_50800025_1,40000_50753065_1,30000_11001_1	1075051	炎之安苏	76	0	1	勇气试炼（75）	2620	2620
107506	1	10	75	107507	107505	30000_90003_1,30000_90004_1,40000_50800045_1,40000_50752065_1,30000_11001_1	1075061	迅捷的维恩	77	1	5	勇气试炼（75）	2680	2680
107507	1	10	75	107508	107506	30000_90003_1,30000_90004_1,40000_50800035_1,40000_50753055_1,30000_11001_1	1075071	暮光预言者	77	0	1	勇气试炼（75）	2680	2680
107508	1	10	75	107509	107507	30000_90003_1,30000_90004_1,40000_50800015_1,40000_50751055_1,30000_11001_1	1075081	卡雷	78	0	1	勇气试炼（75）	2740	2740
107509	1	10	75	0	107508	30000_90003_1,30000_90004_1,40000_50801056_1,40000_50750015_1,30000_11001_1	1075091	日光费雷尔	79	1	5	勇气试炼（75）	2800	2800
108001	1	11	80	108002	0	30000_90003_1,30000_90004_1,40000_50850105_1,40000_50802065_1,30000_11001_1	1080011	坚定的格雷格	80	0	1	勇气试炼（80）	3000	3000
108002	1	11	80	108003	108001	30000_90003_1,30000_90004_1,40000_50850085_1,40000_50802055_1,30000_11001_1	1080021	莱恩的倒影	80	0	1	勇气试炼（80）	3000	3000
108003	1	11	80	108004	108002	30000_90003_1,30000_90004_1,40000_50850045_1,40000_50800015_1,30000_11001_1	1080031	混乱的玛尔达	81	1	5	勇气试炼（80）	3200	3200
108004	1	11	80	108005	108003	30000_90003_1,30000_90004_1,40000_50850025_1,40000_50801055_1,30000_11001_1	1080041	驯兽师瓦纳	81	0	1	勇气试炼（80）	3200	3200
108005	1	11	80	108006	108004	30000_90003_1,30000_90004_1,40000_50850075_1,40000_50801065_1,30000_11001_1	1080051	炎之安苏	81	0	1	勇气试炼（80）	3200	3200
108006	1	11	80	108007	108005	30000_90003_1,30000_90004_1,40000_50850095_1,40000_50803055_1,30000_11001_1	1080061	迅捷的维恩	82	1	5	勇气试炼（80）	3400	3400
108007	1	11	80	108008	108006	30000_90003_1,30000_90004_1,40000_50850015_1,40000_50803065_1,30000_11001_1	1080071	暮光预言者	82	0	1	勇气试炼（80）	3400	3400
108008	1	11	80	108009	108007	30000_90003_1,30000_90004_1,40000_50850035_1,40000_50800035_1,30000_11001_1	1080081	卡雷	83	0	1	勇气试炼（80）	3600	3600
108009	1	11	80	0	108008	30000_90003_1,30000_90004_1,40000_50851056_1,40000_50851066_1,30000_11001_1	1080091	日光费雷尔	84	1	5	勇气试炼（80）	3800	3800
108501	1	12	85	108502	0	30000_90004_1,30000_90005_1,40000_50900105_1,40000_50852065_1,30000_11001_1	1085011	疾风克鲁	85	0	1	无畏试炼（85）	4000	4000
108502	1	12	85	108503	108501	30000_90004_1,30000_90005_1,40000_50900025_1,40000_50853065_1,30000_11001_1	1085021	拨弄的赛亚	85	0	1	无畏试炼（85）	4000	4000
108503	1	12	85	108504	108502	30000_90004_1,30000_90005_1,40000_50900045_1,40000_50851055_1,30000_11001_1	1085031	法力风暴	86	1	5	无畏试炼（85）	4200	4200
108504	1	12	85	108505	108503	30000_90004_1,30000_90005_1,40000_50900075_1,40000_50851065_1,30000_11001_1	1085041	火舞者	86	0	1	无畏试炼（85）	4200	4200
108505	1	12	85	108506	108504	30000_90004_1,30000_90005_1,40000_50900085_1,40000_50850035_1,30000_11001_1	1085051	血誓议会	86	0	1	无畏试炼（85）	4200	4200
108506	1	12	85	108507	108505	30000_90004_1,30000_90005_1,40000_50900095_1,40000_50850015_1,30000_11001_1	1085061	舞钢者拜伦	87	1	5	无畏试炼（85）	4400	4400
108507	1	12	85	108508	108506	30000_90004_1,30000_90005_1,40000_50900015_1,40000_50853055_1,30000_11001_1	1085071	风暴之王	87	0	1	无畏试炼（85）	4400	4400
108508	1	12	85	108509	108507	30000_90004_1,30000_90005_1,40000_50900035_1,40000_50852055_1,30000_11001_1	1085081	雷伊战争使者	88	0	1	无畏试炼（85）	4600	4600
108509	1	12	85	0	108508	30000_90004_1,30000_90005_1,40000_50901055_1,40000_50901066_1,30000_11001_1	1085091	暴君泰伦	89	1	5	无畏试炼（85）	4800	4800
109001	1	13	90	109002	0	30000_90004_1,30000_90005_1,40000_50900105_1,40000_50902055_1,30000_11001_1	1090011	疾风克鲁	90	0	1	无畏试炼（90）	5000	5000
109002	1	13	90	109003	109001	30000_90004_1,30000_90005_1,40000_50900025_1,40000_50900035_1,30000_11001_1	1090021	拨弄的赛亚	90	0	1	无畏试炼（90）	5000	5000
109003	1	13	90	109004	109002	30000_90004_1,30000_90005_1,40000_50900046_1,40000_50902065_1,30000_11001_1	1090031	法力风暴	91	1	5	无畏试炼（90）	5200	5200
109004	1	13	90	109005	109003	30000_90004_1,30000_90005_1,40000_50900076_1,40000_50901055_1,30000_11001_1	1090041	火舞者	91	0	1	无畏试炼（90）	5200	5200
109005	1	13	90	109006	109004	30000_90004_1,30000_90005_1,40000_50900085_1,40000_50901065_1,30000_11001_1	1090051	血誓议会	91	0	1	无畏试炼（90）	5200	5200
109006	1	13	90	109007	109005	30000_90004_1,30000_90005_1,40000_50900095_1,40000_50900015_1,30000_11001_1	1090061	舞钢者拜伦	92	1	5	无畏试炼（90）	5400	5400
109007	1	13	90	109008	109006	30000_90004_1,30000_90005_1,40000_50900015_1,40000_50901065_1,30000_11001_1	1090071	风暴之王	92	0	1	无畏试炼（90）	5400	5400
109008	1	13	90	109009	109007	30000_90004_1,30000_90005_1,40000_50900035_1,40000_50903055_1,30000_11001_1	1090081	雷伊战争使者	93	0	1	无畏试炼（90）	5600	5600
109009	1	13	90	0	109008	30000_90004_1,30000_90005_1,40000_50901056_1,40000_50903065_1,30000_11001_1	1090091	暴君泰伦	94	1	5	无畏试炼（90）	5800	5800
109501	1	14	95	109502	0	30000_90004_1,30000_90005_1,40000_50950105_1,40000_50950015_1,30000_11001_1	1095011	疾风克鲁	95	0	1	无畏试炼（95）	6000	6000
109502	1	14	95	109503	109501	30000_90004_1,30000_90005_1,40000_50950025_1,40000_50952055_1,30000_11001_1	1095021	拨弄的赛亚	95	0	1	无畏试炼（95）	6000	6000
109503	1	14	95	109504	109502	30000_90004_1,30000_90005_1,40000_50950046_1,40000_50952065_1,30000_11001_1	1095031	法力风暴	96	1	5	无畏试炼（95）	6200	6200
109504	1	14	95	109505	109503	30000_90004_1,30000_90005_1,40000_50950076_1,40000_50950035_1,30000_11001_1	1095041	火舞者	96	0	1	无畏试炼（95）	6200	6200
109505	1	14	95	109506	109504	30000_90004_1,30000_90005_1,40000_50950085_1,40000_50953065_1,30000_11001_1	1095051	血誓议会	96	0	1	无畏试炼（95）	6200	6200
109506	1	14	95	109507	109505	30000_90004_1,30000_90005_1,40000_50950095_1,40000_50951055_1,30000_11001_1	1095061	舞钢者拜伦	97	1	5	无畏试炼（95）	6400	6400
109507	1	14	95	109508	109506	30000_90004_1,30000_90005_1,40000_50950015_1,40000_50951065_1,30000_11001_1	1095071	风暴之王	97	0	1	无畏试炼（95）	6400	6400
109508	1	14	95	109509	109507	30000_90004_1,30000_90005_1,40000_50950035_1,40000_50953055_1,30000_11001_1	1095081	雷伊战争使者	98	0	1	无畏试炼（95）	6600	6600
109509	1	14	95	0	109508	30000_90004_1,30000_90005_1,40000_50951056_1,40000_50953065_1,30000_11001_1	1095091	暴君泰伦	99	1	5	无畏试炼（95）	6800	6800
110001	1	15	100	110002	0	30000_90004_1,30000_90005_1,40000_51000105_1,40000_51000015_1,30000_11001_1	1100011	疾风克鲁	100	0	1	无畏试炼（100）	7000	7000
110002	1	15	100	110003	110001	30000_90004_1,30000_90005_1,40000_51000025_1,40000_51002055_1,30000_11001_1	1100021	拨弄的赛亚	100	0	1	无畏试炼（100）	7000	7000
110003	1	15	100	110004	110002	30000_90004_1,30000_90005_1,40000_51000046_1,40000_51002065_1,30000_11001_1	1100031	法力风暴	101	1	5	无畏试炼（100）	7200	7200
110004	1	15	100	110005	110003	30000_90004_1,30000_90005_1,40000_51000076_1,40000_51000035_1,30000_11001_1	1100041	火舞者	101	0	1	无畏试炼（100）	7200	7200
110005	1	15	100	110006	110004	30000_90004_1,30000_90005_1,40000_51000085_1,40000_51003065_1,30000_11001_1	1100051	血誓议会	101	0	1	无畏试炼（100）	7200	7200
110006	1	15	100	110007	110005	30000_90004_1,30000_90005_1,40000_51000095_1,40000_51001055_1,30000_11001_1	1100061	舞钢者拜伦	102	1	5	无畏试炼（100）	7500	7500
110007	1	15	100	110008	110006	30000_90004_1,30000_90005_1,40000_51000015_1,40000_51001065_1,30000_11001_1	1100071	风暴之王	102	0	1	无畏试炼（100）	7500	7500
110008	1	15	100	110009	110007	30000_90004_1,30000_90005_1,40000_51000035_1,40000_51003055_1,30000_11001_1	1100081	雷伊战争使者	102	0	1	无畏试炼（100）	7500	7500
110009	1	15	100	0	110008	30000_90004_1,30000_90005_1,40000_51001056_1,40000_51003065_1,30000_11001_1	1100091	暴君泰伦	102	1	5	无畏试炼（100）	7500	7500
203001	2	1	30	203002	0	30000_90002_3,30000_90003_1,40000_50350105_1,40000_50303065_1,30000_11001_1	2030011	猎人幻象	30	0	1	敏捷试炼（30）	660	660
203002	2	1	30	203003	203001	30000_90002_3,30000_90003_1,40000_50350075_1,40000_50301055_1,30000_11001_1	2030021	法力风暴	30	0	1	敏捷试炼（30）	660	660
203003	2	1	30	203004	203002	30000_90002_3,30000_90003_1,40000_50350045_1,40000_50301065_1,30000_11001_1	2030031	角斗士里奥	31	1	5	敏捷试炼（30）	690	690
203004	2	1	30	203005	203003	30000_90002_3,30000_90003_1,40000_50350025_1,40000_50302055_1,30000_11001_1	2030041	荒野游侠	31	0	1	敏捷试炼（30）	690	690
203005	2	1	30	203006	203004	30000_90002_3,30000_90003_1,40000_50350095_1,40000_50303055_1,30000_11001_1	2030051	憾地者	31	0	1	敏捷试炼（30）	690	690
203006	2	1	30	203007	203005	30000_90002_3,30000_90003_1,40000_50350085_1,40000_50300015_1,30000_11001_1	2030061	拉兹	32	1	5	敏捷试炼（30）	720	720
203007	2	1	30	203008	203006	30000_90002_3,30000_90003_1,40000_50350015_1,40000_50352066_1,30000_11001_1	2030071	塔克	32	0	1	敏捷试炼（30）	720	720
203008	2	1	30	203009	203007	30000_90002_3,30000_90003_1,40000_50350035_1,40000_50302065_1,30000_11001_1	2030081	狂野安东尼	33	0	1	敏捷试炼（30）	750	750
203009	2	1	30	0	203008	30000_90002_3,30000_90003_1,40000_50352055_1,40000_50300035_1,30000_11001_1	2030091	巡林者瑞克	34	1	5	敏捷试炼（30）	780	780
203501	2	2	35	203502	0	30000_90002_3,30000_90003_1,40000_50400015_1,40000_50353065_1,30000_11001_1	2035011	猎人幻象	35	0	1	敏捷试炼（35）	810	810
203502	2	2	35	203503	203501	30000_90002_3,30000_90003_1,40000_50400095_1,40000_50352055_1,30000_11001_1	2035021	法力风暴	35	0	1	敏捷试炼（35）	810	810
203503	2	2	35	203504	203502	30000_90002_3,30000_90003_1,40000_50400045_1,40000_50351055_1,30000_11001_1	2035031	角斗士里奥	36	1	5	敏捷试炼（35）	840	840
203504	2	2	35	203505	203503	30000_90002_3,30000_90003_1,40000_50400085_1,40000_50402065_1,30000_11001_1	2035041	荒野游侠	36	0	1	敏捷试炼（35）	840	840
203505	2	2	35	203506	203504	30000_90002_3,30000_90003_1,40000_50400075_1,40000_50351065_1,30000_11001_1	2035051	憾地者	36	0	1	敏捷试炼（35）	840	840
203506	2	2	35	203507	203505	30000_90002_3,30000_90003_1,40000_50400025_1,40000_50350015_1,30000_11001_1	2035061	拉兹	37	1	5	敏捷试炼（35）	870	870
203507	2	2	35	203508	203506	30000_90002_3,30000_90003_1,40000_50400105_1,40000_50353055_1,30000_11001_1	2035071	塔克	37	0	1	敏捷试炼（35）	870	870
203508	2	2	35	203509	203507	30000_90002_3,30000_90003_1,40000_50400035_1,40000_50350035_1,30000_11001_1	2035081	狂野安东尼	38	0	1	敏捷试炼（35）	900	900
203509	2	2	35	0	203508	30000_90002_3,30000_90003_1,40000_50402056_1,40000_50352065_1,30000_11001_1	2035091	巡林者瑞克	39	1	5	敏捷试炼（35）	930	930
204001	2	3	40	204002	0	30000_90002_3,30000_90003_1,40000_50450025_1,40000_50403065_1,30000_11001_1	2040011	猎人幻象	40	0	1	敏捷试炼（40）	960	960
204002	2	3	40	204003	204001	30000_90002_3,30000_90003_1,40000_50450105_1,40000_50400015_1,30000_11001_1	2040021	法力风暴	40	0	1	敏捷试炼（40）	960	960
