id	名称(name)	类型(type)	等级限制(levelLimit)	职业限制(profLimit)	出售价格(price)	配对物品(needItem)	包含物品(containItem)	宝石升级消耗(levelUpCost)	宝石升级概率(levelUpRate)	宝石升级目标(levelUpItem)	力量(strenght)	敏捷(agility)	智力(intellect)	耐力(stamina)	物品图标	升级目标最大消耗	物品描述	兑换需要熔炼值	品质	页面跳转
30001	铜锤子	3	0	0	0	0	0	0	0	0	0	0	0	0	Item/41.png	0	铜制的锤子，用来开启装备的第2个宝石孔，可在熔炉中打造获得	500	2	0
30002	银锤子	3	0	0	0	0	0	0	0	0	0	0	0	0	Item/42.png	0	银制的锤子，用来开启装备的第3个宝石孔，可在熔炉中打造获得	1000	3	0
30003	金锤子	3	0	0	0	0	0	0	0	0	0	0	0	0	Item/43.png	0	金制的锤子，用来开启装备的第4个宝石孔，可在熔炉中打造获得	2000	4	0
20101	1级红宝石	2	0	0	0	0	0	30000_0_0	3000	20102	10	0	0	0	Item/101.png	10,2	镶嵌后+10点力量，可升级至2级红宝石，4-15级红宝石升级的材料	0	1	0
20102	2级红宝石	2	0	0	0	0	0	40000_0_0	2000	20103	15	0	0	0	Item/102.png	20,3	镶嵌后+15点力量，可升级至3级红宝石	0	1	0
20103	3级红宝石	2	0	0	0	0	0	50000_20101_1	1500	20104	20	0	0	0	Item/103.png	40,5	镶嵌后+20点力量，可升级至4级红宝石	0	1	0
20104	4级红宝石	2	0	0	0	0	0	100000_20101_2	1000	20105	30	0	0	0	Item/104.png	100,10	镶嵌后+30点力量，可升级至5级红宝石	0	1	0
20105	5级红宝石	2	0	0	0	0	0	150000_20101_3	950	20106	50	0	0	0	Item/105.png	150,15	镶嵌后+50点力量，可升级至6级红宝石	0	1	0
20106	6级红宝石	2	0	0	0	0	0	200000_20101_4	900	20107	80	0	0	0	Item/106.png	200,20	镶嵌后+80点力量，可升级至7级红宝石	0	1	0
20107	7级红宝石	2	0	0	0	0	0	300000_20101_6	850	20108	120	0	0	0	Item/107.png	250,25	镶嵌后+120点力量，可升级至8级红宝石	0	1	0
20108	8级红宝石	2	0	0	0	0	0	400000_20101_8	800	20109	170	0	0	0	Item/108.png	300,30	镶嵌后+170点力量，可升级至9级红宝石	0	1	0
20109	9级红宝石	2	0	0	0	0	0	500000_20101_10	750	20110	230	0	0	0	Item/109.png	350,35	镶嵌后+230点力量，可升级至10级红宝石	0	1	0
20110	10级红宝石	2	0	0	0	0	0	650000_20101_13	700	20111	300	0	0	0	Item/110.png	400,40	镶嵌后+300点力量，可升级至11级红宝石	0	1	0
20111	11级红宝石	2	0	0	0	0	0	800000_20101_16	650	20112	380	0	0	0	Item/111.png	450,45	镶嵌后+380点力量，可升级至12级红宝石	0	1	0
20112	12级红宝石	2	0	0	0	0	0	950000_20101_19	600	20113	470	0	0	0	Item/112.png	500,50	镶嵌后+470点力量，可升级至13级红宝石	0	1	0
20113	13级红宝石	2	0	0	0	0	0	1150000_20101_23	550	20114	570	0	0	0	Item/113.png	550,55	镶嵌后+570点力量，可升级至14级红宝石	0	1	0
20114	14级红宝石	2	0	0	0	0	0	1350000_20101_27	500	20115	680	0	0	0	Item/114.png	600,60	镶嵌后+680点力量，可升级至15级红宝石	0	1	0
20115	15级红宝石	2	0	0	0	0	0	0	0	0	800	0	0	0	Item/115.png	0	镶嵌后+800点力量，顶级宝石	0	1	0
20201	1级绿宝石	2	0	0	0	0	0	30000_0_0	3000	20202	0	10	0	0	Item/201.png	10,2	镶嵌后+10点敏捷，可升级至2级绿宝石，4-15级绿宝石升级的材料	0	2	0
20202	2级绿宝石	2	0	0	0	0	0	40000_0_0	2000	20203	0	15	0	0	Item/202.png	20,3	镶嵌后+15点敏捷，可升级至3级绿宝石	0	2	0
20203	3级绿宝石	2	0	0	0	0	0	50000_20201_1	1500	20204	0	20	0	0	Item/203.png	40,5	镶嵌后+20点敏捷，可升级至4级绿宝石	0	2	0
20204	4级绿宝石	2	0	0	0	0	0	100000_20201_2	1000	20205	0	30	0	0	Item/204.png	100,10	镶嵌后+30点敏捷，可升级至5级绿宝石	0	2	0
20205	5级绿宝石	2	0	0	0	0	0	150000_20201_3	950	20206	0	50	0	0	Item/205.png	150,15	镶嵌后+50点敏捷，可升级至6级绿宝石	0	2	0
20206	6级绿宝石	2	0	0	0	0	0	200000_20201_4	900	20207	0	80	0	0	Item/206.png	200,20	镶嵌后+80点敏捷，可升级至7级绿宝石	0	2	0
20207	7级绿宝石	2	0	0	0	0	0	300000_20201_6	850	20208	0	120	0	0	Item/207.png	250,25	镶嵌后+120点敏捷，可升级至8级绿宝石	0	2	0
20208	8级绿宝石	2	0	0	0	0	0	400000_20201_8	800	20209	0	170	0	0	Item/208.png	300,30	镶嵌后+170点敏捷，可升级至9级绿宝石	0	2	0
20209	9级绿宝石	2	0	0	0	0	0	500000_20201_10	750	20210	0	230	0	0	Item/209.png	350,35	镶嵌后+230点敏捷，可升级至10级绿宝石	0	2	0
20210	10级绿宝石	2	0	0	0	0	0	650000_20201_13	700	20211	0	300	0	0	Item/210.png	400,40	镶嵌后+300点敏捷，可升级至11级绿宝石	0	2	0
20211	11级绿宝石	2	0	0	0	0	0	800000_20201_16	650	20212	0	380	0	0	Item/211.png	450,45	镶嵌后+380点敏捷，可升级至12级绿宝石	0	2	0
20212	12级绿宝石	2	0	0	0	0	0	950000_20201_19	600	20213	0	470	0	0	Item/212.png	500,50	镶嵌后+470点敏捷，可升级至13级绿宝石	0	2	0
20213	13级绿宝石	2	0	0	0	0	0	1150000_20201_23	550	20214	0	570	0	0	Item/213.png	550,55	镶嵌后+570点敏捷，可升级至14级绿宝石	0	2	0
20214	14级绿宝石	2	0	0	0	0	0	1350000_20201_27	500	20215	0	680	0	0	Item/214.png	600,60	镶嵌后+680点敏捷，可升级至15级绿宝石	0	2	0
20215	15级绿宝石	2	0	0	0	0	0	0	0	0	0	800	0	0	Item/215.png	0	镶嵌后+800点敏捷，顶级宝石	0	2	0
20301	1级蓝宝石	2	0	0	0	0	0	30000_0_0	3000	20302	0	0	10	0	Item/301.png	10,2	镶嵌后+10点智力，可升级至2级蓝宝石，4-15级蓝宝石升级的材料	0	3	0
20302	2级蓝宝石	2	0	0	0	0	0	40000_0_0	2000	20303	0	0	15	0	Item/302.png	20,3	镶嵌后+15点智力，可升级至3级蓝宝石	0	3	0
20303	3级蓝宝石	2	0	0	0	0	0	50000_20301_1	1500	20304	0	0	20	0	Item/303.png	40,5	镶嵌后+20点智力，可升级至4级蓝宝石	0	3	0
20304	4级蓝宝石	2	0	0	0	0	0	100000_20301_2	1000	20305	0	0	30	0	Item/304.png	100,10	镶嵌后+30点智力，可升级至5级蓝宝石	0	3	0
20305	5级蓝宝石	2	0	0	0	0	0	150000_20301_3	950	20306	0	0	50	0	Item/305.png	150,15	镶嵌后+50点智力，可升级至6级蓝宝石	0	3	0
20306	6级蓝宝石	2	0	0	0	0	0	200000_20301_4	900	20307	0	0	80	0	Item/306.png	200,20	镶嵌后+80点智力，可升级至7级蓝宝石	0	3	0
20307	7级蓝宝石	2	0	0	0	0	0	300000_20301_6	850	20308	0	0	120	0	Item/307.png	250,25	镶嵌后+120点智力，可升级至8级蓝宝石	0	3	0
20308	8级蓝宝石	2	0	0	0	0	0	400000_20301_8	800	20309	0	0	170	0	Item/308.png	300,30	镶嵌后+170点智力，可升级至9级蓝宝石	0	3	0
20309	9级蓝宝石	2	0	0	0	0	0	500000_20301_10	750	20310	0	0	230	0	Item/309.png	350,35	镶嵌后+230点智力，可升级至10级蓝宝石	0	3	0
20310	10级蓝宝石	2	0	0	0	0	0	650000_20301_13	700	20311	0	0	300	0	Item/310.png	400,40	镶嵌后+300点智力，可升级至11级蓝宝石	0	3	0
20311	11级蓝宝石	2	0	0	0	0	0	800000_20301_16	650	20312	0	0	380	0	Item/311.png	450,45	镶嵌后+380点智力，可升级至12级蓝宝石	0	3	0
20312	12级蓝宝石	2	0	0	0	0	0	950000_20301_19	600	20313	0	0	470	0	Item/312.png	500,50	镶嵌后+470点智力，可升级至13级蓝宝石	0	3	0
20313	13级蓝宝石	2	0	0	0	0	0	1150000_20301_23	550	20314	0	0	570	0	Item/313.png	550,55	镶嵌后+570点智力，可升级至14级蓝宝石	0	3	0
20314	14级蓝宝石	2	0	0	0	0	0	1350000_20301_27	500	20315	0	0	680	0	Item/314.png	600,60	镶嵌后+680点智力，可升级至15级蓝宝石	0	3	0
20315	15级蓝宝石	2	0	0	0	0	0	0	0	0	0	0	800	0	Item/315.png	0	镶嵌后+800点智力，顶级宝石	0	3	0
20401	1级黄宝石	2	0	0	0	0	0	30000_0_0	3000	20402	0	0	0	10	Item/401.png	10,2	镶嵌后+10点耐力，可升级至2级黄宝石，4-15级黄宝石升级的材料	0	4	0
20402	2级黄宝石	2	0	0	0	0	0	40000_0_0	2000	20403	0	0	0	15	Item/402.png	20,3	镶嵌后+15点耐力，可升级至3级黄宝石	0	4	0
20403	3级黄宝石	2	0	0	0	0	0	50000_20401_1	1500	20404	0	0	0	20	Item/403.png	40,5	镶嵌后+20点耐力，可升级至4级黄宝石	0	4	0
20404	4级黄宝石	2	0	0	0	0	0	100000_20401_2	1000	20405	0	0	0	30	Item/404.png	100,10	镶嵌后+30点耐力，可升级至5级黄宝石	0	4	0
20405	5级黄宝石	2	0	0	0	0	0	150000_20401_3	950	20406	0	0	0	50	Item/405.png	150,15	镶嵌后+50点耐力，可升级至6级黄宝石	0	4	0
20406	6级黄宝石	2	0	0	0	0	0	200000_20401_4	900	20407	0	0	0	80	Item/406.png	200,20	镶嵌后+80点耐力，可升级至7级黄宝石	0	4	0
20407	7级黄宝石	2	0	0	0	0	0	300000_20401_6	850	20408	0	0	0	120	Item/407.png	250,25	镶嵌后+120点耐力，可升级至8级黄宝石	0	4	0
20408	8级黄宝石	2	0	0	0	0	0	400000_20401_8	800	20409	0	0	0	170	Item/408.png	300,30	镶嵌后+170点耐力，可升级至9级黄宝石	0	4	0
20409	9级黄宝石	2	0	0	0	0	0	500000_20401_10	750	20410	0	0	0	230	Item/409.png	350,35	镶嵌后+230点耐力，可升级至10级黄宝石	0	4	0
20410	10级黄宝石	2	0	0	0	0	0	650000_20401_13	700	20411	0	0	0	300	Item/410.png	400,40	镶嵌后+300点耐力，可升级至11级黄宝石	0	4	0
20411	11级黄宝石	2	0	0	0	0	0	800000_20401_16	650	20412	0	0	0	380	Item/411.png	450,45	镶嵌后+380点耐力，可升级至12级黄宝石	0	4	0
20412	12级黄宝石	2	0	0	0	0	0	950000_20401_19	600	20413	0	0	0	470	Item/412.png	500,50	镶嵌后+470点耐力，可升级至13级黄宝石	0	4	0
20413	13级黄宝石	2	0	0	0	0	0	1150000_20401_23	550	20414	0	0	0	570	Item/413.png	550,55	镶嵌后+570点耐力，可升级至14级黄宝石	0	4	0
20414	14级黄宝石	2	0	0	0	0	0	1350000_20401_27	500	20415	0	0	0	680	Item/414.png	600,60	镶嵌后+680点耐力，可升级至15级黄宝石	0	4	0
20415	15级黄宝石	2	0	0	0	0	0	0	0	0	0	0	0	800	Item/415.png	0	镶嵌后+800点耐力，顶级宝石	0	4	0
10001	神器碎片	1	0	0	0	0	0	0	0	0	0	0	0	0	Item/4.png	0	十个神器碎片可以合成一个神器	0	4	0
10002	全	10	0	0	10000	0	0	0	0	0	0	0	0	0	Item/51.png	0	集齐“全民挂机公测”，会有意想不到的惊喜哦！	0	4	0
10003	民	10	0	0	10000	0	0	0	0	0	0	0	0	0	Item/52.png	0	集齐“全民挂机公测”，会有意想不到的惊喜哦！	0	4	0
10004	挂	10	0	0	10000	0	0	0	0	0	0	0	0	0	Item/53.png	0	集齐“全民挂机公测”，会有意想不到的惊喜哦！	0	4	0
10005	机	10	0	0	10000	0	0	0	0	0	0	0	0	0	Item/54.png	0	集齐“全民挂机公测”，会有意想不到的惊喜哦！	0	4	0
10006	公	10	0	0	10000	0	0	0	0	0	0	0	0	0	Item/55.png	0	集齐“全民挂机公测”，会有意想不到的惊喜哦！	0	4	0
10007	测	10	0	0	10000	0	0	0	0	0	0	0	0	0	Item/56.png	0	集齐“全民挂机公测”，会有意想不到的惊喜哦！	0	4	0
10008	南瓜爪牙	9	0	0	20000	0	0	0	0	0	0	0	0	0	Item/71.png	0	南瓜军团的士兵，挂机战斗时可能获得。	0	4	7
10009	南瓜弓手	9	0	0	20000	0	0	0	0	0	0	0	0	0	Item/72.png	0	南瓜军团的弓手，挂机战斗时可能获得。	0	4	7
10010	南瓜卫士	9	0	0	20000	0	0	0	0	0	0	0	0	0	Item/73.png	0	南瓜军团的守卫者，挂机战斗时可能获得。	0	4	7
10011	南瓜将军	9	0	0	50000	0	0	0	0	0	0	0	0	0	Item/74.png	0	南瓜军团的将军，挑战BOSS时可能获得。	0	5	7
10012	南瓜幽灵	9	0	0	80000	0	0	0	0	0	0	0	0	0	Item/76.png	0	幽灵般的南瓜，只会在万圣节前后出现，挑战BOSS时可能获得。	0	5	7
10013	节日糖果	12	0	0	0	0	10000_1002_10000_10000,30000_60001_1_10000	0	0	0	0	0	0	0	Item/gift1.png	0	一小盒万圣节糖果。	0	2	0
10014	美味糖果	12	0	0	0	0	30000_50001_10_10000,30000_41001_5_10000	0	0	0	0	0	0	0	Item/78.png	0	不给糖就捣蛋！	0	3	0
10015	精致南瓜	12	0	0	0	0	30000_90001_1_10000,30000_41002_1_10000	0	0	0	0	0	0	0	Item/77.png	0	似乎燃烧着火焰的南瓜，不要轻易戴在头上。	0	4	0
10016	至尊南瓜	12	0	0	0	0	10000_1002_1500000_10000,30000_60001_240_10000	0	0	0	0	0	0	0	Item/75.png	0	超级大号的南瓜，里面有什么呢？	0	5	0
70002	出门装礼包	7	0	0	0	0	40000_10050040_1,40000_10050041_1,40000_10050070_1,40000_10100090_1,40000_10100010_1,40000_10100020_1,40000_10100080_1,40000_10100030_1	0	0	0	0	0	0	0	Item/gift1.png	0	出门装礼包	0	1	0
70003	金光闪闪礼包	7	0	0	0	0	40000_50600070_1,40000_50650010_1,40000_50650020_1,40000_50650080_1,40000_50650090_1,40000_50650100_1,40000_50651050_1	0	0	0	0	0	0	0	Item/gift1.png	0	金光闪闪礼包	0	1	0
70004	超级锤子礼包	7	0	0	0	0	30001_30001_100,30001_30002_100,30001_30003_100	0	0	0	0	0	0	0	Item/gift1.png	0	超级锤子礼包	0	1	0
70005	不开箱子不舒服斯基礼包	7	0	0	0	0	30001_50001_100,30001_50002_100,30001_50003_100	0	0	0	0	0	0	0	Item/gift1.png	0	不开箱子不舒服斯基礼包	0	1	0
70006	中华小当家礼包	7	0	0	0	0	30001_10001_100	0	0	0	0	0	0	0	Item/gift1.png	0	中华小当家礼包	0	1	0
70007	潘多拉礼包	7	0	0	0	0	30001_70007_1,30001_70006_1,30001_70005_1,30001_70004_1,30001_70003_1,30001_70002_1	0	0	0	0	0	0	0	Item/gift1.png	0	潘多拉礼包	0	1	0
90001	BOSS挑战券	11	0	0	0	0	10000_1009_1	0	0	0	0	0	0	0	Item/11.png	0	使用后可增加一次副本BOSS挑战次数	0	1	0
